1.2 diagnostic	1	-9.223372036854776E14	1	Bien que ce common.document ne détaille pas leurs pratiques spécifiques, cette recommandation peut également être utile à tous professionnels de santé et travailleurs sociaux (assistantes sociales, etc.) concernés par le thème, notamment dans la mesure où ils participent à la mise en uvre des traitements non médicamenteux, à l éducation thérapeutique du patient et au maintien de ses activités sociales et professionnelles1 Cfparagraphe 1.2 Diagnostic différentiel.
1.2 diagnostic différentiel	1	-9.223372036854776E14	1	Bien que ce common.document ne détaille pas leurs pratiques spécifiques, cette recommandation peut également être utile à tous professionnels de santé et travailleurs sociaux (assistantes sociales, etc.) concernés par le thème, notamment dans la mesure où ils participent à la mise en uvre des traitements non médicamenteux, à l éducation thérapeutique du patient et au maintien de ses activités sociales et professionnelles1 Cfparagraphe 1.2 Diagnostic différentiel.
consentement du patient9	1	-9.223372036854776E14	1	Le risque suicidaire élevé est une urgence : l'hospitalisation est recommandée, et, si nécessaire, sans le consentement du patient9.	
consentement9	0	-9.223372036854776E14	1	Si la personne a besoin d'être admise à l'hôpital, tous les efforts doivent être mis en uvre pour obtenir son consentement9 Loi n 2011-803 du 5 juillet 2011 : http: www.legifrance.gouv.fr jopdf common jo_pdf.jsp?numJO=0&dateJO=20110706&numTexte=1&pageDebut=11705&pageFin=11718 ;.	
consentement9 loi	1	-9.223372036854776E14	1	Si la personne a besoin d'être admise à l'hôpital, tous les efforts doivent être mis en uvre pour obtenir son consentement9 Loi n 2011-803 du 5 juillet 2011 : http: www.legifrance.gouv.fr jopdf common jo_pdf.jsp?numJO=0&dateJO=20110706&numTexte=1&pageDebut=11705&pageFin=11718 ;.	
consolidation	1	-9.223372036854776E14	1	La prise en charge d un épisode dépressif caractérisé comporte deux phases :   la phase aiguë (traitement d attaque), dont l objectif est la rémission complète des symptômes ;   la phase de consolidation, dont l objectif est de prévenir la rechute de l épisode.	
consommation	0	-9.223372036854776E14	2	Il est recommandé de prodiguer des conseils de mode de vie après avoir établi une alliance thérapeutique :   respecter le rythme nycthéméral ;   pratiquer une activité physique régulière ;   éviter la consommation d alcool et autres substances toxiques ;   encourager une activité sociale régulière ;   poursuivre les activités habituellement intéressantes ou plaisantes2.3 Stratégie de prise en charge thérapeutique 2.3.1 Principes généraux.	En cas de réponse insuffisante au traitement, il est nécessaire :   d envisager un problème d adhésion ou d observance au traitement, de comorbidités, de prescription de traitements concomitants, de consommation d alcool en excès, d isolement, ou d évoquer un trouble cognitif d origine organique ;   d orienter le patient vers un psychiatre et un gériatre pour avis conjoint2.7.2 Femme enceinte ou allaitante ► Éléments de diagnostic.	
constatations	0	-9.223372036854776E14	1	Elles ne sauraient dispenser le professionnel de santé de faire preuve de discernement dans sa prise en charge du patient, qui doit être celle qu il estime la plus appropriée, en fonction de ses propres constatations et des préférences du patient.	
consultation	1	-9.223372036854776E14	7	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	Ceci implique de disposer d un temps suffisant et d un cadre adapté, d où l intérêt de prévoir des consultations dédiées.	Avant toute prescription médicamenteuse, la consultation du médecin est l acte thérapeutique initial.	Après évaluation, un traitement antidépresseur peut être prescrit dès la première consultation si l intensité du tableau clinique le nécessite.	Il est recommandé d effectuer un suivi rapproché du patient dès le début de la prise en charge ; la fréquence des consultations nécessaires est laissée à l appréciation du clinicien.	Il est recommandé de surveiller étroitement le patient par des consultations régulières, plus particulièrement en début de traitement antidépresseur (notamment au bout de la première semaine, puis de la deuxième semaine de traitement), pour rechercher un comportement suicidaire, une agitation ou un autre facteur majorant le risque suicidaire (conflit interpersonnel, alcool, etc.), mais également les effets indésirables somatiques (cfannexe 6.2).	
consultation du groupe	1	-9.223372036854776E14	1	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	
consultation du groupe de lecture	1	-9.223372036854776E14	1	En l absence d études, les recommandations sont fondées sur un accord entre experts du groupe de travail, après consultation du groupe de lecture.	
consultation du médecin	1	-9.223372036854776E14	1	Avant toute prescription médicamenteuse, la consultation du médecin est l acte thérapeutique initial.	
consultations	1	-9.223372036854776E14	3	Ceci implique de disposer d un temps suffisant et d un cadre adapté, d où l intérêt de prévoir des consultations dédiées.	Il est recommandé d effectuer un suivi rapproché du patient dès le début de la prise en charge ; la fréquence des consultations nécessaires est laissée à l appréciation du clinicien.	Il est recommandé de surveiller étroitement le patient par des consultations régulières, plus particulièrement en début de traitement antidépresseur (notamment au bout de la première semaine, puis de la deuxième semaine de traitement), pour rechercher un comportement suicidaire, une agitation ou un autre facteur majorant le risque suicidaire (conflit interpersonnel, alcool, etc.), mais également les effets indésirables somatiques (cfannexe 6.2).	
consultations nécessaires	1	-9.223372036854776E14	1	Il est recommandé d effectuer un suivi rapproché du patient dès le début de la prise en charge ; la fréquence des consultations nécessaires est laissée à l appréciation du clinicien.	
consultations régulières	1	-9.223372036854776E14	1	Il est recommandé de surveiller étroitement le patient par des consultations régulières, plus particulièrement en début de traitement antidépresseur (notamment au bout de la première semaine, puis de la deuxième semaine de traitement), pour rechercher un comportement suicidaire, une agitation ou un autre facteur majorant le risque suicidaire (conflit interpersonnel, alcool, etc.), mais également les effets indésirables somatiques (cfannexe 6.2).	
conséquences	0	-9.223372036854776E14	1	L évaluation des idées et des intentions suicidaires doit inclure les éléments suivants :   le début, la durée, l intensité, la fréquence de ces idées suicidaires ;   l imminence du passage à l acte ;   les comportements préparatoires à la concrétisation du passage à l acte et de ses conséquences ;   la recherche et l accès à des moyens létaux.	
contact	0	-9.223372036854776E14	1	L entourage est le principal fournisseur de ces types de soutien, incluant :   soutien émotionnel et aide pour la résolution de problèmes ;   assistance dans les activités de la vie quotidienne (exemple : courses alimentaires, exécution d une prescription) ;   procurer un lieu stable et sécurisé ou rester si besoin ;   encourager pour les soins personnels élémentaires (s alimenter régulièrement, hygiène, etc.) ;   encourager le patient à entreprendre des actes d autogestion ;   être une personne contact à appeler en cas de situation à haut risque ou de moment de stress ;   être positif en ce qui concerne la gestion des hauts et des bas , ainsi un incident ne sera pas une rechute ;   accès à des informations pour le patient et sa famille.	
contagiosité	0	-9.223372036854776E14	1	Il est recommandé de tenir compte :   du contexte socio-environnemental et culturel ;   d une situation d instabilité ou de survenue d événements de vie particuliers ;   de désinsertion ou de solitude ;   d un entourage proche pathogène, voire une ambiance de contagiosité suicidaire.	
contagiosité suicidaire	0	-9.223372036854776E14	1	Il est recommandé de tenir compte :   du contexte socio-environnemental et culturel ;   d une situation d instabilité ou de survenue d événements de vie particuliers ;   de désinsertion ou de solitude ;   d un entourage proche pathogène, voire une ambiance de contagiosité suicidaire.	
contexte	0	-9.223372036854776E14	3	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	Il est recommandé de tenir compte :   du contexte socio-environnemental et culturel ;   d une situation d instabilité ou de survenue d événements de vie particuliers ;   de désinsertion ou de solitude ;   d un entourage proche pathogène, voire une ambiance de contagiosité suicidaire.	Une grossesse non désirée ou de découverte tardive, un contexte de précarité sociale, de séparation du couple parental, d antécédent d avortement, d agression, de maltraitance ou une hospitalisation du nourrisson dans la période postnatale peuvent constituer des facteurs de dépression maternelle.	
contexte culturel	0	-9.223372036854776E14	1	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	
contexte culturel des patients	1	-9.223372036854776E14	1	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	
contexte de précarité	0	-9.223372036854776E14	1	Une grossesse non désirée ou de découverte tardive, un contexte de précarité sociale, de séparation du couple parental, d antécédent d avortement, d agression, de maltraitance ou une hospitalisation du nourrisson dans la période postnatale peuvent constituer des facteurs de dépression maternelle.	
contexte de précarité sociale	1	-9.223372036854776E14	1	Une grossesse non désirée ou de découverte tardive, un contexte de précarité sociale, de séparation du couple parental, d antécédent d avortement, d agression, de maltraitance ou une hospitalisation du nourrisson dans la période postnatale peuvent constituer des facteurs de dépression maternelle.	
contexte socio-environnemental	0	-9.223372036854776E14	1	Il est recommandé de tenir compte :   du contexte socio-environnemental et culturel ;   d une situation d instabilité ou de survenue d événements de vie particuliers ;   de désinsertion ou de solitude ;   d un entourage proche pathogène, voire une ambiance de contagiosité suicidaire.	
contexte socio-environnemental et culturel	0	-9.223372036854776E14	1	Il est recommandé de tenir compte :   du contexte socio-environnemental et culturel ;   d une situation d instabilité ou de survenue d événements de vie particuliers ;   de désinsertion ou de solitude ;   d un entourage proche pathogène, voire une ambiance de contagiosité suicidaire.	
contre-indications	1	-9.223372036854776E14	2	Selon le traitement psychotrope, il est recommandé de prendre en compte les contre-indications, les interactions médicamenteuses, les effets indésirables, et inciter à l adhésion au traitement.	Il est recommandé de prendre en compte les éléments suivants pour le choix d un antidé-presseur, dans le cadre de l alliance thérapeutique :   le respect des contre-indications, notamment :  les comorbidités somatiques,  les interactions médicamenteuses ;   le risque de létalité lors d un surdosage ;   le profil des effets indésirables attendus de l antidépresseur (ex: sédation, prise de poids, effets indésirables anticholinergiques) ;   l utilisation thérapeutique d effets latéraux (ex: recherche d une stimulation ou d une sé-dation) ;   la réponse antérieure à un traitement par antidépresseur du patient ou, le cas échéant, de sa famille ;   la maniabilité de l antidépresseur – le plus simple à prescrire à dose efficace ;   le coût2.5.2 Suivi et arrêt du traitement.	
contrôle	1	-9.223372036854776E14	1	Il est recommandé d envisager une hospitalisation soit d emblée, soit au cours de l évolution, devant les situations suivantes :   patient avec un scénario suicidaire construit imminent ;   patient avec un risque immédiat d'automutilation ;   patient avec un potentiel de violence ;   certaines formes sévères de dépression, en cas de symptômes psychotiques ou somatiques sévères associés ;   présence d une forte agitation anxieuse avec manque de contrôle émotionnel ou impulsivité ;   sevrage de substance psychoactive ;   à chaque fois qu une situation particulière l exige.	
contrôle émotionnel	1	-9.223372036854776E14	1	Il est recommandé d envisager une hospitalisation soit d emblée, soit au cours de l évolution, devant les situations suivantes :   patient avec un scénario suicidaire construit imminent ;   patient avec un risque immédiat d'automutilation ;   patient avec un potentiel de violence ;   certaines formes sévères de dépression, en cas de symptômes psychotiques ou somatiques sévères associés ;   présence d une forte agitation anxieuse avec manque de contrôle émotionnel ou impulsivité ;   sevrage de substance psychoactive ;   à chaque fois qu une situation particulière l exige.	
coordonnées	0	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
coordonnées des ressources	0	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
coordonnées des ressources locales	0	-9.223372036854776E14	1	Il est recommandé, devant un risque suicidaire, de :   fixer un rendez-vous proche pour une nouvelle consultation ;   limiter l accès aux moyens létaux envisagés par le patient ;   évaluer si la personne dispose d une aide sociale adéquate et fiable (identifier la personne soutien) ;   conseiller à la personne de chercher de l aide si la situation se détériore ;   transmettre à la personne suicidaire les coordonnées des ressources locales qui pourraient lui venir en aide et l accompagner ;   avec l accord de la personne suicidaire, communiquer avec la famille ou les proches pour s assurer qu ils savent où trouver rapidement de l aide en cas de besoin ;   conseiller à la famille et les aidants du patient d être vigilants vis-à-vis de :  une modification de l humeur,  la présence de pensées négatives,  le désespoir,  des idées et des plans suicidaires ;   prendre en compte la toxicité d un surdosage volontaire des médicaments prescrits.	
couple	0	-9.223372036854776E14	1	Une grossesse non désirée ou de découverte tardive, un contexte de précarité sociale, de séparation du couple parental, d antécédent d avortement, d agression, de maltraitance ou une hospitalisation du nourrisson dans la période postnatale peuvent constituer des facteurs de dépression maternelle.	
couple parental	0	-9.223372036854776E14	1	Une grossesse non désirée ou de découverte tardive, un contexte de précarité sociale, de séparation du couple parental, d antécédent d avortement, d agression, de maltraitance ou une hospitalisation du nourrisson dans la période postnatale peuvent constituer des facteurs de dépression maternelle.	
cours	0	-9.223372036854776E14	8	Cette recommandation est principalement destinée aux médecins généralistes, médecins gériatres, médecins du travail et autres professionnels de santé de premiers recours.	Le patient en crise :   envisage le suicide et son intention est claire ;   a envisagé un scénario suicidaire, mais dont l exécution est reportée ;   ne voit de recours autre que le suicide pour cesser de souffrir ;   présente un équilibre émotionnel fragile ;   a besoin d aide et exprime directement ou indirectement son désarroi ;   est isolé.	Il est recommandé d envisager une hospitalisation soit d emblée, soit au cours de l évolution, devant les situations suivantes :   patient avec un scénario suicidaire construit imminent ;   patient avec un risque immédiat d'automutilation ;   patient avec un potentiel de violence ;   certaines formes sévères de dépression, en cas de symptômes psychotiques ou somatiques sévères associés ;   présence d une forte agitation anxieuse avec manque de contrôle émotionnel ou impulsivité ;   sevrage de substance psychoactive ;   à chaque fois qu une situation particulière l exige.	Il est recommandé de :   développer une attitude de compréhension, d empathie, de confiance, de soutien, d écoute et d information ;   rassurer le patient sur le fait que tout problème qui surviendra au cours du traitement sera pris en compte de façon appropriée.	Les IMAO ne sont recommandés qu'en dernier recours, après échec des autres alternatives thérapeutiques, en prescription spécialisée du fait des leurs nombreux effets indésirables et interactions médicamenteuses.	L entourage est le principal fournisseur de ces types de soutien, incluant :   soutien émotionnel et aide pour la résolution de problèmes ;   assistance dans les activités de la vie quotidienne (exemple : courses alimentaires, exécution d une prescription) ;   procurer un lieu stable et sécurisé ou rester si besoin ;   encourager pour les soins personnels élémentaires (s alimenter régulièrement, hygiène, etc.) ;   encourager le patient à entreprendre des actes d autogestion ;   être une personne contact à appeler en cas de situation à haut risque ou de moment de stress ;   être positif en ce qui concerne la gestion des hauts et des bas , ainsi un incident ne sera pas une rechute ;   accès à des informations pour le patient et sa famille.	Une femme peut présenter, au cours ou au décours de sa grossesse, un EDC.	Pour qu un épisode soit considéré comme récurrent, il doit y avoir un intervalle d au moins 2 mois consécutifs entre des épisodes distincts, au cours duquel les critères d un épisode dépressi	
cours de l évolution	0	-9.223372036854776E14	1	Il est recommandé d envisager une hospitalisation soit d emblée, soit au cours de l évolution, devant les situations suivantes :   patient avec un scénario suicidaire construit imminent ;   patient avec un risque immédiat d'automutilation ;   patient avec un potentiel de violence ;   certaines formes sévères de dépression, en cas de symptômes psychotiques ou somatiques sévères associés ;   présence d une forte agitation anxieuse avec manque de contrôle émotionnel ou impulsivité ;   sevrage de substance psychoactive ;   à chaque fois qu une situation particulière l exige.	
cours du traitement	0	-9.223372036854776E14	1	Il est recommandé de :   développer une attitude de compréhension, d empathie, de confiance, de soutien, d écoute et d information ;   rassurer le patient sur le fait que tout problème qui surviendra au cours du traitement sera pris en compte de façon appropriée.	
courses	0	-9.223372036854776E14	1	L entourage est le principal fournisseur de ces types de soutien, incluant :   soutien émotionnel et aide pour la résolution de problèmes ;   assistance dans les activités de la vie quotidienne (exemple : courses alimentaires, exécution d une prescription) ;   procurer un lieu stable et sécurisé ou rester si besoin ;   encourager pour les soins personnels élémentaires (s alimenter régulièrement, hygiène, etc.) ;   encourager le patient à entreprendre des actes d autogestion ;   être une personne contact à appeler en cas de situation à haut risque ou de moment de stress ;   être positif en ce qui concerne la gestion des hauts et des bas , ainsi un incident ne sera pas une rechute ;   accès à des informations pour le patient et sa famille.	
courses alimentaires	0	-9.223372036854776E14	1	L entourage est le principal fournisseur de ces types de soutien, incluant :   soutien émotionnel et aide pour la résolution de problèmes ;   assistance dans les activités de la vie quotidienne (exemple : courses alimentaires, exécution d une prescription) ;   procurer un lieu stable et sécurisé ou rester si besoin ;   encourager pour les soins personnels élémentaires (s alimenter régulièrement, hygiène, etc.) ;   encourager le patient à entreprendre des actes d autogestion ;   être une personne contact à appeler en cas de situation à haut risque ou de moment de stress ;   être positif en ce qui concerne la gestion des hauts et des bas , ainsi un incident ne sera pas une rechute ;   accès à des informations pour le patient et sa famille.	
coût2.5.2	0	-9.223372036854776E14	1	Il est recommandé de prendre en compte les éléments suivants pour le choix d un antidé-presseur, dans le cadre de l alliance thérapeutique :   le respect des contre-indications, notamment :  les comorbidités somatiques,  les interactions médicamenteuses ;   le risque de létalité lors d un surdosage ;   le profil des effets indésirables attendus de l antidépresseur (ex: sédation, prise de poids, effets indésirables anticholinergiques) ;   l utilisation thérapeutique d effets latéraux (ex: recherche d une stimulation ou d une sé-dation) ;   la réponse antérieure à un traitement par antidépresseur du patient ou, le cas échéant, de sa famille ;   la maniabilité de l antidépresseur – le plus simple à prescrire à dose efficace ;   le coût2.5.2 Suivi et arrêt du traitement.	
crise	1	-9.223372036854776E14	4	Une modification inexpliquée du comportement habituel doit alerter et conduire à suspecter l existence d une crise suicidaire.	Il est recommandé une évaluation de la crise suicidaire et de son degré d urgence8.	Le patient en crise :   envisage le suicide et son intention est claire ;   a envisagé un scénario suicidaire, mais dont l exécution est reportée ;   ne voit de recours autre que le suicide pour cesser de souffrir ;   présente un équilibre émotionnel fragile ;   a besoin d aide et exprime directement ou indirectement son désarroi ;   est isolé.	Le patient en crise :   est décidé : sa planification est claire et le passage à l acte est prévu pour les jours qui viennent ;   est coupé de ses émotions : il rationalise sa décision ou est très émotif, agité, troublé ;   se sent complètement immobilisé par la dépression ou dans un état de grande agitation ;   a une douleur et une expression de la souffrance omniprésentes ou complètement tues ;   a un accès direct et immédiat à un moyen de se suicider ;   a le sentiment d avoir tout fait et tout essayé ;   est très isolé8 Cf.	
crise suicidaire	1	-9.223372036854776E14	2	Une modification inexpliquée du comportement habituel doit alerter et conduire à suspecter l existence d une crise suicidaire.	Il est recommandé une évaluation de la crise suicidaire et de son degré d urgence8.	
critères	0	-9.223372036854776E14	4	Il est recommandé de qualifier la sévérité d un épisode dépressif caractérisé selon les critères diagnostiques du CIM-10 et du DSM-5 qui proposent trois niveaux : léger, modéré ou sévère, selon le nombre et l intensité des symptômes et le degré de dysfonctionnement du patient dans les activités sociales, professionnelles résultant de l épisode dépressif6 BDI-II et HDRS sont des tests d évaluation d une dépression inscrits à la classification commune des actes médicaux (CCAM).	Il est recommandé de ne pas prescrire un antidépresseur pour traiter :   les symptômes dépressifs subsyndromiques : symptômes en nombre insuffisant pour remplir les critères d un EDC ou symptômes d intensité sévère mais d une durée inférieure à 2 semaines (selon la CIM-10 ou le DSM-5) ;   les épisodes dépressifs caractérisés d intensité légère (selon la CIM-10 ou le DSM-5)2.3.1 Stratégie thérapeutique selon l intensité de l EDC.	En l absence de critères d hospitalisation (cfparagraphe 1.6 Indications d hospitalisation), il est recommandé d instaurer le traitement antidépresseur d emblée et d orienter rapidement le patient vers un psychiatre pour une prise en charge associant une psychothérapie et un antidépresseur.	Pour qu un épisode soit considéré comme récurrent, il doit y avoir un intervalle d au moins 2 mois consécutifs entre des épisodes distincts, au cours duquel les critères d un épisode dépressi	
critères diagnostiques	1	-9.223372036854776E14	1	Il est recommandé de qualifier la sévérité d un épisode dépressif caractérisé selon les critères diagnostiques du CIM-10 et du DSM-5 qui proposent trois niveaux : léger, modéré ou sévère, selon le nombre et l intensité des symptômes et le degré de dysfonctionnement du patient dans les activités sociales, professionnelles résultant de l épisode dépressif6 BDI-II et HDRS sont des tests d évaluation d une dépression inscrits à la classification commune des actes médicaux (CCAM).	
critères diagnostiques du cim-10	1	-9.223372036854776E14	1	Il est recommandé de qualifier la sévérité d un épisode dépressif caractérisé selon les critères diagnostiques du CIM-10 et du DSM-5 qui proposent trois niveaux : léger, modéré ou sévère, selon le nombre et l intensité des symptômes et le degré de dysfonctionnement du patient dans les activités sociales, professionnelles résultant de l épisode dépressif6 BDI-II et HDRS sont des tests d évaluation d une dépression inscrits à la classification commune des actes médicaux (CCAM).	
croyances	1	-9.223372036854776E14	1	L indication et le choix de cette psychothérapie reposent sur de nombreux facteurs, parmi lesquels :   la nature des symptômes et du fonctionnement psychique ;   les préférences du patient, sa culture, ses croyances, ses expériences antérieures ;   la disponibilité et l engagement du thérapeute.	
culture	0	-9.223372036854776E14	3	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	Il est recommandé de tenir compte :   du contexte socio-environnemental et culturel ;   d une situation d instabilité ou de survenue d événements de vie particuliers ;   de désinsertion ou de solitude ;   d un entourage proche pathogène, voire une ambiance de contagiosité suicidaire.	L indication et le choix de cette psychothérapie reposent sur de nombreux facteurs, parmi lesquels :   la nature des symptômes et du fonctionnement psychique ;   les préférences du patient, sa culture, ses croyances, ses expériences antérieures ;   la disponibilité et l engagement du thérapeute.	
d antécédent	1	-9.223372036854776E14	2	Si besoin, limiter la quantité de médicament disponible ;   tenir compte du risque pour les autres, en particulier du risque de négligence et de violence envers les personnes à charge et l entourage (s enquérir d antécédents de violence, d idées, de plans et d intentions d homicide).	Une grossesse non désirée ou de découverte tardive, un contexte de précarité sociale, de séparation du couple parental, d antécédent d avortement, d agression, de maltraitance ou une hospitalisation du nourrisson dans la période postnatale peuvent constituer des facteurs de dépression maternelle.	
d intensité	1	-9.223372036854776E14	4	Il est recommandé de ne pas prescrire un antidépresseur pour traiter :   les symptômes dépressifs subsyndromiques : symptômes en nombre insuffisant pour remplir les critères d un EDC ou symptômes d intensité sévère mais d une durée inférieure à 2 semaines (selon la CIM-10 ou le DSM-5) ;   les épisodes dépressifs caractérisés d intensité légère (selon la CIM-10 ou le DSM-5)2.3.1 Stratégie thérapeutique selon l intensité de l EDC.	En cas de symptômes dépressifs subsyndromiques, il est recommandé d effectuer un suivi du patient, voire une psychothérapie de soutien► EDC d intensité légère.	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission partielle, il est recommandé de poursuivre la psychothérapie de soutien ;   en cas de persistance ou d aggravation des symptômes, il est recommandé de réévaluer le diagnostic et d envisager un EDC d intensité modérée► EDC d intensité modérée.	L efficacité de la prise en charge sera évaluée après 4 à 8 semaines :   en cas de rémission complète, il recommandé de poursuivre le traitement antidépresseur éventuel 6 mois à 1 an après la rémission et poursuivre la psychothérapie éventuellement engagée ;   en cas de rémission partielle, il est recommandé de poursuivre la psychothérapie et d augmenter la posologie ou changer le traitement antidépresseur éventuel ;   en cas de persistance ou d aggravation des symptômes, il est recommandé de réévaluer le diagnostic et d envisager un EDC d intensité sévère► EDC d intensité sévère.	
d intensité légère	1	-9.223372036854776E14	2	Il est recommandé de ne pas prescrire un antidépresseur pour traiter :   les symptômes dépressifs subsyndromiques : symptômes en nombre insuffisant pour remplir les critères d un EDC ou symptômes d intensité sévère mais d une durée inférieure à 2 semaines (selon la CIM-10 ou le DSM-5) ;   les épisodes dépressifs caractérisés d intensité légère (selon la CIM-10 ou le DSM-5)2.3.1 Stratégie thérapeutique selon l intensité de l EDC.	En cas de symptômes dépressifs subsyndromiques, il est recommandé d effectuer un suivi du patient, voire une psychothérapie de soutien► EDC d intensité légère.	
degré	0	-9.223372036854776E14	5	Les symptômes d un épisode dépressif caractérisé doivent :   être présents durant une période minimum de 2 semaines, et chacun d entre eux à un degré de sévérité certain, presque tous les jours ;   avoir représenté un changement par rapport au fonctionnement antérieur (professionnel, social, familial) ;   induire une détresse significative.	Il convient également de :   établir les ressources et les soutiens d aides disponibles pour le patient ;   évaluer le fonctionnement socio-professionnel, personnel et familial ; les conditions de vie, le degré d isolement social et familial ; le contexte culturel des patients ;   évaluer les incapacités professionnelles, sociales et familiales : une décision d arrêt de travail, ou d aménagement des horaires de travail, la mise en place d aides sociales, dépendent de cette évaluation ;   recueillir si nécessaire les informations complémentaires auprès de l entourage avec l'accord du patient1.3.2 Outils d aide au diagnostic.	Il est recommandé de qualifier la sévérité d un épisode dépressif caractérisé selon les critères diagnostiques du CIM-10 et du DSM-5 qui proposent trois niveaux : léger, modéré ou sévère, selon le nombre et l intensité des symptômes et le degré de dysfonctionnement du patient dans les activités sociales, professionnelles résultant de l épisode dépressif6 BDI-II et HDRS sont des tests d évaluation d une dépression inscrits à la classification commune des actes médicaux (CCAM).	Il est recommandé une évaluation de la crise suicidaire et de son degré d urgence8.	En cas de risque suicidaire, le clinicien doit s assurer de mettre en place l aide adéquate correspondant au degré de risque suicidaire.	
degré de dysfonctionnement	0	-9.223372036854776E14	1	Il est recommandé de qualifier la sévérité d un épisode dépressif caractérisé selon les critères diagnostiques du CIM-10 et du DSM-5 qui proposent trois niveaux : léger, modéré ou sévère, selon le nombre et l intensité des symptômes et le degré de dysfonctionnement du patient dans les activités sociales, professionnelles résultant de l épisode dépressif6 BDI-II et HDRS sont des tests d évaluation d une dépression inscrits à la classification commune des actes médicaux (CCAM).	
