Expression multi-termes	C-Value																																																																										
##########end########## élaboration	1.585																																																																										
0,5 point	1.585																																																																										
16 recommandation	1.585																																																																										
19b hypoglycémiant	1.585																																																																										
19c hypoglycémiant	1.585																																																																										
2 heures	1.585																																																																										
2.5 patientes	1.585																																																																										
2009-06 chutes_repetees_personnes_agees_-_argumentaire.pdf	1.585																																																																										
21.1 patients	1.585																																																																										
24 heures	1.585																																																																										
29 déshydratation	1.585																																																																										
3 mois	1.585																																																																										
31 personnes	1.585																																																																										
3c aiguës	1.585																																																																										
4 fois	1.585																																																																										
6 mois	1.585																																																																										
accidents vasculaires	1.585																																																																										
activité professionnelle	1.585																																																																										
alphaglucosidases jusqu	1.585																																																																										
analogue lente	1.585																																																																										
antécédents cardio-vasculaires	1.585																																																																										
application pdf	1.585																																																																										
artériopathie oblitérante	1.585																																																																										
asg autosurveillance	1.585																																																																										
aspects majeurs	1.585																																																																										
association insuline	1.585																																																																										
attention particulière	1.585																																																																										
autre antidiabétique	1.585																																																																										
autre classe	1.585																																																																										
autre traitement	1.585																																																																										
avis spécialisé9	1.585																																																																										
b pour	1.585																																																																										
balance bénéfice	1.585																																																																										
bithérapie orale	1.585																																																																										
bon contrôle	1.585																																																																										
bon état	1.585																																																																										
bonne observance	1.585																																																																										
bonnes pratiques	1.585																																																																										
caisse nationale	1.585																																																																										
capillaires préprandiales	1.585																																																																										
cas particuliers	1.585																																																																										
ce common.document	1.585
cent s	1.585																																																																										
certaines recommandations	1.585																																																																										
cette prise	1.585																																																																										
cette section	1.585																																																																										
charge2.1 patients	1.585																																																																										
chroniques microvasculaires	1.585																																																																										
cible thérapeutique	1.585																																																																										
circonstances cliniques	1.585																																																																										
classe thérapeutique	1.585																																																																										
comparaisons directes	1.585																																																																										
complications aiguês	1.585																																																																										
complications chroniques	1.585																																																																										
complications macrovasculaires	1.585																																																																										
court terme	1.585																																																																										
coût journalier	1.585																																																																										
critère intermédiaire	1.585																																																																										
critères finaux	1.585																																																																										
critères inadaptés	1.585																																																																										
créatinine 45	1.585																																																																										
d hba1c	1.585																																																																										
d insuline	1.585																																																																										
d objectifs	1.585																																																																										
dernière page	1.585																																																																										
des glycémies	1.585																																																																										
des objectifs	1.585																																																																										
différents médicaments	1.585																																																																										
différents traitements	1.585																																																																										
docs application	1.585																																																																										
données bibliographiques	1.585																																																																										
données nouvelles	1.585																																																																										
dose initiale	1.585																																																																										
dose maximale	1.585																																																																										
doses maximales	1.585																																																																										
doses minimales	1.585																																																																										
dpp-4 vs	1.585																																																																										
effectif faible	1.585																																																																										
effets indésirables	1.585																																																																										
emploi spécifiques	1.585																																																																										
environnement social	1.585																																																																										
essais cliniques	1.585																																																																										
expérience clinique	1.585																																																																										
faible gradation	1.585																																																																										
faible niveau	1.585																																																																										
femmes enceintes	1.585																																																																										
fiche descriptive	1.585																																																																										
fixation d	1.585																																																																										
flou visuel	1.585																																																																										
fonction rénale	1.585																																																																										
fonctionnelles motrices	1.585																																																																										
glycémies capillaires	1.585																																																																										
glycémies inférieures	1.585																																																																										
glycémique avant	1.585																																																																										
glycémique n	1.585																																																																										
glycémiques capillaires	1.585																																																																										
glycémiques cibles	1.585																																																																										
glycémiques clairs	1.585																																																																										
glycémiques optimaux	1.585																																																																										
guide méthodologique	1.585																																																																										
has disponible	1.585																																																																										
has service	1.585																																																																										
hypoglycémies fréquentes	1.585																																																																										
hypoglycémies sévères	1.585																																																																										
initiale faible	1.585																																																																										
insuffisants rénaux	1.585																																																																										
insuline intermédiaire	1.585																																																																										
intensification médicamenteuse	1.585																																																																										
interactions médicamenteuses	1.585																																																																										
isolement social	1.585																																																																										
l administration	1.585																																																																										
l assurance	1.585																																																																										
l hypoglycémie	1.585																																																																										
l injection	1.585																																																																										
l insuffisance	1.585																																																																										
l introduction	1.585																																																																										
l épisode	1.585																																																																										
limitations fonctionnelles	1.585																																																																										
long terme	1.585																																																																										
mauvais état	1.585																																																																										
membres inférieurs	1.585																																																																										
mesures glycémiques	1.585																																																																										
min 1,73m	1.585																																																																										
minimales recommandées	1.585																																																																										
monothérapie orale	1.585																																																																										
moyens thérapeutiques	1.585																																																																										
médecin généraliste	1.585																																																																										
médecine fondée	1.585																																																																										
médicament susceptible	1.585																																																																										
médicaments antidiabétiques	1.585																																																																										
nouvelles recommandations	1.585																																																																										
objectif individualisé	1.585																																																																										
options thérapeutiques	1.585																																																																										
particulier inhibiteurs	1.585																																																																										
patient n	1.585																																																																										
patients adultes	1.585																																																																										
pdf 2009-06	1.585																																																																										
plusieurs caractéristiques	1.585																																																																										
population vulnérable	1.585																																																																										
portail upload	1.585																																																																										
posologie adaptée10	1.585																																																																										
pratiques professionnelles	1.585																																																																										
pratiques suivantes	1.585																																																																										
première intention	1.585																																																																										
première intention5	1.585																																																																										
professionnelles service	1.585																																																																										
profil clinique	1.585																																																																										
propres constatations	1.585																																																																										
quatre sous-populations	1.585																																																																										
rapport différentiel	1.585																																																																										
recommandation 1	1.585																																																																										
recommandation 14	1.585																																																																										
recommandation 16	1.585																																																																										
recommandation 19b	1.585																																																																										
recommandation 19c	1.585																																																																										
recommandation 20	1.585																																																																										
recommandation 28	1.585																																																																										
recommandation 29	1.585																																																																										
recommandation 2b	1.585																																																																										
recommandation 2c	1.585																																																																										
recommandation 30	1.585																																																																										
recommandation 31	1.585																																																																										
recommandation 33	1.585																																																																										
recommandation 34	1.585																																																																										
recommandation 35	1.585																																																																										
recommandation 36	1.585																																																																										
recommandation 38	1.585																																																																										
recommandation 3b	1.585																																																																										
recommandation 3c	1.585																																																																										
recommandation 42	1.585																																																																										
recommandation 4b	1.585																																																																										
recommandation 5b	1.585																																																																										
recommandation 6	1.585																																																																										
recommandation 8	1.585																																																																										
recommandation n	1.585																																																																										
recommandé1.4 patients	1.585																																																																										
recommandée1 http	1.585																																																																										
recommandée1.5 patientes	1.585																																																																										
recommandée2.4 patients	1.585																																																																										
recommandés1.3 patients	1.585																																																																										
règles pharmacologiques	1.585																																																																										
réalisation adéquate	1.585																																																																										
rénale fonctionnelle	1.585																																																																										
rénaux chroniques	1.585																																																																										
santé intermédiaire	1.585																																																																										
santé publique	1.585																																																																										
schéma général	1.585																																																																										
schéma insulinique	1.585																																																																										
service évaluation	1.585																																																																										
seules classes	1.585																																																																										
sous-populations particulières	1.585																																																																										
stades 3a	1.585																																																																										
stratégie classique	1.585																																																																										
stratégies celle(s)	1.585																																																																										
sujets âgés	1.585																																																																										
sécurité sociale	1.585																																																																										
tierce personne	1.585																																																																										
traitement oral	1.585																																																																										
traitement pharmacologique	1.585																																																																										
travail 2009	1.585																																																																										
travailleurs salariés	1.585																																																																										
trois aspects	1.585																																																																										
trois catégories	1.585																																																																										
type 21.1	1.585																																																																										
un(e) infirmier(ère)	1.585																																																																										
une consultation	1.585																																																																										
upload docs	1.585																																																																										
valeur absolue	1.585																																																																										
vasculaires cérébraux	1.585																																																																										
vs sulfamides	1.585																																																																										
vue décisionnel	1.585																																																																										
www.has-sante.fr portail	1.585																																																																										
âgées fragiles	1.585																																																																										
élimination rénale	1.585																																																																										
études complémentaires	1.585																																																																										
évaluation économique	1.585																																																																										
éventuelles hypoglycémies	1.585																																																																										
événement cardio-vasculaire	1.585																																																																										
1,73m	1.0																																																																										
19b	1.0																																																																										
19c	1.0																																																																										
2c	1.0																																																																										
3a	1.0																																																																										
3c	1.0																																																																										
4b	1.0																																																																										
5b	1.0																																																																										
accidents	1.0																																																																										
activité	1.0																																																																										
administration	1.0																																																																										
ado	1.0																																																																										
advance	1.0																																																																										
affection	1.0																																																																										
altération	1.0																																																																										
amaigrissement	1.0																																																																										
amélioration	1.0																																																																										
analogues	1.0																																																																										
analyse	1.0																																																																										
ans1	1.0																																																																										
antidiabétique	1.0																																																																										
antécédents	1.0																																																																										
apparition	1.0																																																																										
artériopathie	1.0																																																																										
aspects	1.0																																																																										
associations	1.0																																																																										
asthénie	1.0																																																																										
attention	1.0																																																																										
baisse	1.0																																																																										
balance	1.0																																																																										
besoin	1.0																																																																										
bout	1.0																																																																										
bénéfice	1.0																																																																										
cadre	1.0																																																																										
caisse	1.0																																																																										
capacités	1.0																																																																										
caractéristiques	1.0																																																																										
catégorie	1.0																																																																										
catégories	1.0																																																																										
certaines	1.0																																																																										
ces	1.0																																																																										
cfrecommandation	1.0																																																																										
charge2.1	1.0																																																																										
chroniques	1.0																																																																										
chutes_repetees_personnes_agees_-_argumentaire.pdf	1.0																																																																										
cibles	1.0																																																																										
circonstances	1.0																																																																										
clairance	1.0																																																																										
classe	1.0																																																																										
cnamts	1.0																																																																										
collège	1.0																																																																										
comorbidité	1.0																																																																										
comorbidités	1.0																																																																										
comparaisons	1.0																																																																										
composantes	1.0																																																																										
conception10	1.0																																																																										
connaissance	1.0																																																																										
constatations	1.0																																																																										
consultations	1.0																																																																										
conséquence	1.0																																																																										
conséquences	1.0																																																																										
contre-indication	1.0																																																																										
contre-indications	1.0																																																																										
coucher	1.0																																																																										
coûts	1.0																																																																										
créatinine	1.0																																																																										
dans	1.0																																																																										
diabétologue	1.0																																																																										
dipeptidylpeptidase-4	1.0																																																																										
direction	1.0																																																																										
discernement	1.0																																																																										
discussion	1.0																																																																										
dispositif	1.0																																																																										
docs	1.0																																																																										
common.document	1.0
dosage	1.0																																																																										
dss	1.0																																																																										
décisions	1.0																																																																										
dénutrition	1.0																																																																										
déremboursement	1.0																																																																										
effectif	1.0																																																																										
effet	1.0																																																																										
efforts	1.0																																																																										
emploi	1.0																																																																										
environnement	1.0																																																																										
envisagées8	1.0																																																																										
essais	1.0																																																																										
experts	1.0																																																																										
expérience	1.0																																																																										
exénatide	1.0																																																																										
fiche	1.0																																																																										
fixation	1.0																																																																										
flou	1.0																																																																										
fois	1.0																																																																										
fréquence	1.0																																																																										
glinides	1.0																																																																										
grade	1.0																																																																										
gériatre	1.0																																																																										
handicaps	1.0																																																																										
hba1c6	1.0																																																																										
hiérarchisation	1.0																																																																										
http	1.0																																																																										
hypoglycémies11	1.0																																																																										
indication	1.0																																																																										
infarctus	1.0																																																																										
infirmier(ère)	1.0																																																																										
initiation	1.0																																																																										
injection	1.0																																																																										
intention	1.0																																																																										
intention5	1.0																																																																										
interactions	1.0																																																																										
intolérance	1.0																																																																										
introduction	1.0																																																																										
isolement	1.0																																																																										
jour	1.0																																																																										
jours	1.0																																																																										
lecture	1.0																																																																										
lente	1.0																																																																										
limitations	1.0																																																																										
malades	1.0																																																																										
marché	1.0																																																																										
mesure	1.0																																																																										
micro-angiopathie	1.0																																																																										
modification	1.0																																																																										
modélisation	1.0																																																																										
moments	1.0																																																																										
monothérapies	1.0																																																																										
myocarde	1.0																																																																										
médecin	1.0																																																																										
médecine	1.0																																																																										
médicaments	1.0																																																																										
neuropathie	1.0																																																																										
niveau	1.0																																																																										
nombre	1.0																																																																										
néphropathie	1.0																																																																										
observance	1.0																																																																										
options	1.0																																																																										
page	1.0																																																																										
pdf	1.0																																																																										
pioglitazone	1.0																																																																										
plusieurs	1.0																																																																										
polymédication	1.0																																																																										
polypathologie	1.0																																																																										
polyurie	1.0																																																																										
pondération	1.0																																																																										
populations	1.0																																																																										
portail	1.0																																																																										
praticien	1.0																																																																										
preuves	1.0																																																																										
prises	1.0																																																																										
professionnel	1.0																																																																										
professionnels	1.0																																																																										
programme	1.0																																																																										
propositions	1.0																																																																										
précaution	1.0																																																																										
précautions	1.0																																																																										
présentation	1.0																																																																										
présentations	1.0																																																																										
publication	1.0																																																																										
qu	1.0																																																																								B L ASG est recommandée chez les patients diabétiques de type 2 traités par insuline afin d adapter les doses d insuline et de prévenir les hypoglycémies.	B La réalisation systématique de l ASG chez les patients sous antidiabétiques ne provoquant pas d hypoglycémie n est pas recommandée.	L analyse de la littérature a souligné le faible niveau de preuve des données (effectif faible, suivi insuffisant, critères inadaptés) concernant :   la validation du taux d HbA1c comme critère de substitution à des critères finaux de morbi-mortalité dans le diabète de type 2 ;   l effet des différents traitements sur la morbi-mortalité du diabète de type 2 (micro-angiopathie, événement cardio-vasculaire, mortalité liée au diabète) ;   la balance bénéfice risque des différents médicaments antidiabétiques en comparaison directe (en particulier inhibiteurs DPP-4 vs sulfamides) ;   des comparaisons directes entre les différentes stratégies, en particulier une stratégie classique (schéma metformine puis sulfamide puis insuline) vs une stratégie visant à limiter les hypoglycémies et la prise de poids (metformine puis inhibiteurs DPP-4 puis analogues du GLP-1), éventuellement en fonction du profil des patients ;   des données dans les sous-groupes de patients diabétiques tels que les personnes âgées, les patients atteints de comorbidités, les femmes enceintes ;   la modélisation de l efficience :  de différentes stratégies thérapeutiques, dont les mesures hygiéno-diététiques,  pour certaines populations, dont les patients nouvellement diagnostiqués et les patients pour lesquels certains traitements sont contre-indiqués ;   la mesure de la qualité de vie associée aux hypoglycémies11, à la prise de poids et au traitement par insuline afin d estimer la pondération de la durée de vie liée à ces états de santé dans une étude d efficience.
raison	1.0																																																																										
raisons	1.0																																																																										
rbp	1.0																																																																										
recommandations4	1.0																																																																										
recommandée2.4	1.0																																																																										
recul	1.0																																																																										
remboursement	1.0																																																																										
renforcement	1.0																																																																										
respect	1.0																																																																										
retrait	1.0																																																																										
revanche	1.0																																																																										
risques	1.0																																																																										
rosiglitazone	1.0																																																																										
rétinopathie	1.0																																																																										
réévaluation	1.0																																																																										
saisine	1.0																																																																										
section	1.0																																																																										
service	1.0																																																																										
sitagliptine	1.0																																																																										
site	1.0																																																																										
soif	1.0																																																																										
soins	1.0																																																																										
sous-groupes	1.0																																																																										
sous-populations	1.0																																																																										
substitution	1.0																																																																										
sujets	1.0																																																																										
sulfamides	1.0																																																																										
symptômes	1.0																																																																										
synthèse	1.0																																																																										
sécurité	1.0																																																																										
thème	1.0																																																																										
tolérance	1.0																																																																										
traités	1.0																																																																										
travailleurs	1.0																																																																										
trithérapie	1.0																																																																										
trithérapie9	1.0																																																																										
trois	1.0																																																																										
unanimité	1.0																																																																										
upload	1.0																																																																										
utilisation	1.0																																																																										
vadt	1.0																																																																										
valeur	1.0																																																																										
validation	1.0																																																																										
vote	1.0																																																																										
vue	1.0																																																																										
www.has-sante.fr	1.0																																																																										
âge	1.0																																																																										
élimination	1.0																																																																										
épisode	1.0																																																																										
étape	1.0																																																																										
états	1.0																																																																										
étude	1.0																																																																										
évaluation	1.0																																																																										
évolution	1.0																																																																										
événement	1.0																																																																										
